baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AKT1	1403.20087844319	-0.376627288298062	0.0717256566586783	-5.25094235233457	1.51323037173112e-07	5.32550988736656e-07
AKT3	387.823499068258	-0.823523747219741	0.108570795379544	-7.58513138216267	3.32150324041324e-14	1.73252529752257e-13
ALB	226.602434728833	-0.583569443658674	0.197960022269057	-2.94791562947753	0.00319924366375559	0.00703752714909575
ALDH1A1	50.764028753896	-0.79909102862853	0.281691141995009	-2.83676306954192	0.00455734171129631	0.00980194632590306
ALDH1L2	219.074533084308	-0.940048645375528	0.141060163271091	-6.6641681363216	2.66168611811918e-11	1.19159532903792e-10
ALDH4A1	841.338728308152	-0.198857393928794	0.0794548779897825	-2.50277137112168	0.0123225117129167	0.0245533013231892
ALDH5A1	1722.72408412351	-0.146211963262664	0.0651622688607585	-2.2438132652363	0.0248444185489816	0.0467343657029492
ALDH6A1	684.802787342113	-0.341347973723542	0.0865294564315679	-3.94487597403895	7.98412920127819e-05	0.000219642447592475
ALDH7A1	2319.74469921989	-0.420456588802576	0.0585553379015643	-7.18049974383878	6.94570599160917e-13	3.38372237762015e-12
ALDH9A1	1799.92936510229	-0.721621259015854	0.0721836674855938	-9.99701572602796	1.57058825647823e-23	1.16249141422423e-22
ALG12	1796.42737290787	-0.881094935761929	0.065161869415734	-13.5216337969147	1.16558103344299e-41	1.38516402836025e-40
ALKBH3	199.111883535289	-0.674748432200714	0.155685845885651	-4.33403838584212	1.46398630680588e-05	4.32974987055338e-05
ALKBH5	1729.72023341004	-0.251873903389303	0.0679900097955095	-3.70457224740595	0.000211747751654304	0.000550802672797043
ALOX15B	2.05228719154826	-4.60607790525209	1.76141109993167	-2.61499311854613	0.00892292532075517	0.0182514381560901
ALOX5	452.243885627654	-0.94095360688452	0.102393711824233	-9.18956437969303	3.94435436615593e-20	2.62537836038686e-19
ALOX5AP	494.410452197939	-0.352087892995773	0.0996883625009277	-3.53188560994264	0.000412607798269034	0.00103387145420106
ALPK2	30.0726141230205	-2.93665983173239	0.44101721286691	-6.65883268510569	2.7601092361092e-11	1.23459898993059e-10
ALPK3	28.4540592574136	-0.962689315940768	0.369362981376082	-2.60635029627012	0.00915128178020843	0.018681928389788
ALPL	116.696871598173	-0.487963945772114	0.206535562274202	-2.36261465289101	0.018146527351191	0.035005496220701
ALS2	756.066774755564	-0.617802825871482	0.0810132089007098	-7.62595179544936	2.42240345481263e-14	1.27276759276517e-13
AMBRA1	1643.82132748528	-0.22019163475594	0.0639078895557548	-3.44545307764919	0.000570102935865469	0.00140242098266623
AMD1	3063.76573561761	-0.168103047448102	0.0557548279694586	-3.0150401959842	0.00256945200818061	0.00573737118284795
AMDHD1	49.7068977527729	-2.26588773691038	0.326129434422654	-6.94781733185683	3.709809144612e-12	1.73717907466918e-11
AMER1	541.043309494491	-0.69242889647584	0.0955733420602762	-7.24500034789135	4.3243809569746e-13	2.13206787205737e-12
AMHR2	192.875981297174	-1.30514000466592	0.152390545529405	-8.56444210585287	1.08600382871426e-17	6.58796047168908e-17
AMIGO2	104.878889578639	-2.95447639102984	0.253618270548055	-11.6493042265661	2.31339882772456e-31	2.17095584372534e-30
AMIGO3	40.080605578404	-1.02059793584605	0.34734984486379	-2.93824209492958	0.00330079159991148	0.00724868832626753
AMMECR1L	1145.83085805599	-0.255713678660004	0.0717747640391933	-3.56272405884009	0.000367026417550117	0.000925097971806669
AMN	14.917383536617	-3.16274254416232	0.648651015290023	-4.87587696559482	1.08326113598647e-06	3.5574854544507e-06
AMOT	1829.19283493844	-0.176022331818275	0.0642093291047839	-2.74138251049193	0.00611812368143934	0.0128945616703799
AMPD3	283.954476059272	-0.48282102372264	0.130226980226317	-3.70753451307526	0.000209286900818686	0.000544672876616499
AMT	385.21641871851	-0.966830498309875	0.138902049926255	-6.96052001265046	3.39018995551815e-12	1.59036545206064e-11
AMY1A	678.375018440155	-2.04188907586805	0.0915313108226278	-22.3080938917709	3.08358636278346e-110	1.05204711200848e-108
AMY1AP	41.2330010227761	-2.46482884617723	0.397935595791336	-6.19403961908876	5.86414762743506e-10	2.4313622410811e-09
AMZ1	7.82740623198653	-2.94855593934051	0.866887889053979	-3.40131172273986	0.000670633070366387	0.00163260096878281
ANGEL1	2223.42634182035	-0.604500695247932	0.0598048746538553	-10.1078833246741	5.09736418936367e-24	3.84651117722853e-23
ANGPT1	755.194327998076	-0.331058525336762	0.0855462146247276	-3.86993774989394	0.000108863146557305	0.000294400012966783
ANGPT4	593.947822218514	-2.66925399111192	0.106956638455295	-24.9564125206459	1.81915741248761e-137	8.53573185904299e-136
ANGPTL2	859.982028621073	-0.774445014477153	0.0808711068232695	-9.57628805760722	1.00595464669987e-21	7.04370658051416e-21
ANK1	207.60914173818	-3.7019076410147	0.19046038813541	-19.4366276224471	3.78225635481846e-84	9.40160865340588e-83
ANK2	684.7236555093	-4.1837360771108	0.120804238318159	-34.6323617064842	8.23364531621462e-263	1.26410672207766e-260
ANKDD1A	226.706941291991	-0.801594167748193	0.150664850940901	-5.32037939003185	1.03551079913591e-07	3.68715305012922e-07
ANKEF1	3.74352032634303	-4.3273290836481	1.47664737378383	-2.93050945030942	0.00338406700329412	0.00741518722098659
ANKFN1L	152.331760010874	-1.56720432597208	0.176291201076488	-8.88986129995286	6.11852368060403e-19	3.88548584096752e-18
ANKH	520.376392344446	-1.08115957712304	0.104258177500284	-10.370021834691	3.39447190403646e-25	2.65355946672712e-24
ANKMY1	187.995297292465	-1.07747570562184	0.157639695807334	-6.83505318951336	8.1974608000288e-12	3.77593164581075e-11
ANKMY2	1004.34247563232	-0.631539447998034	0.0835235294389024	-7.56121600991497	3.99318457738155e-14	2.07407198944594e-13
ANKRD1	43.581706396489	-0.9485743678208	0.327174080705813	-2.89929558531789	0.00374002127394942	0.0081328519266886
ANKRD10	2845.90868568172	-0.30464124874549	0.0579587272569066	-5.25617561260695	1.47081850818838e-07	5.18148986856307e-07
ANKRD11	5363.84374907587	-0.116184401659521	0.0521941797146409	-2.22600301977599	0.0260139791474908	0.0486800398458154
ANKRD13B	235.303524245163	-1.22395957679593	0.157625510816074	-7.76498404642196	8.16555014248953e-15	4.38971902613753e-14
ANKRD13D	504.865442116318	-0.557338854730783	0.123172492053376	-4.5248646466393	6.04341705796185e-06	1.85759676387816e-05
ANKRD2	47.3138287356121	-0.918543952783877	0.335604250521894	-2.7369854563983	0.00620050341956107	0.0130536914096023
ANKRD26	488.263699971897	-0.446766395592822	0.100786407896274	-4.43280403497086	9.30154018613418e-06	2.80740328254527e-05
ANKRD31	238.228305817553	-0.729219761397103	0.136200802313578	-5.35400488844557	8.60285342170478e-08	3.0805621582095e-07
ANKRD34C	19.1523552828379	-4.2366587665695	0.713168092907426	-5.94061737857282	2.83950658294981e-09	1.12952748051042e-08
ANKRD39	419.594516534683	-0.570496329955814	0.137867349296639	-4.13800898375379	3.503326572519e-05	9.96858256121514e-05
ANKRD40	365.677968972527	-0.283204730267518	0.114082283155098	-2.48246022463009	0.013047863382255	0.0258579524887513
ANKRD40L	717.263472794015	-0.619613240861024	0.087791284310963	-7.05779902554233	1.69160470287839e-12	8.04755210665317e-12
ANKRD50	1287.06545530657	-2.13911758298736	0.0789100448115496	-27.1083052619718	7.85924284588608e-162	4.85505889414501e-160
ANKS1A	1521.30595207912	-0.325693309358701	0.0631133544649093	-5.1604499890714	2.46356968577602e-07	8.5249146567788e-07
ANO1	643.675156982376	-1.16346543202719	0.0934645459278915	-12.4482007640075	1.43033294680407e-35	1.48436142789607e-34
ANO10	277.897560563916	-0.930570066944455	0.133277093080569	-6.98222061597564	2.90550379777773e-12	1.36760413204687e-11
ANO3	229.963241649833	-3.76230665308159	0.191606849460729	-19.6355540716341	7.68381240782587e-86	1.94234870551337e-84
ANO4	48.3111331731599	-1.19388746173	0.3503188794727	-3.40800205666059	0.00065440401465789	0.00159588365172352
ANO5	1971.68037416048	-1.06596842619283	0.0645461688717058	-16.5148210161255	2.87011188232838e-61	4.96722233670668e-60
ANO8	341.4769302927	-0.467561178502112	0.118860945768678	-3.93368213148883	8.36543971301549e-05	0.000229497281839132
ANPEP	1097.38225012921	-1.61404979664712	0.104928422155387	-15.3823889037129	2.14871208308055e-53	3.24169857620823e-52
ANTXR2	3205.83907376597	-0.961562782702042	0.0541347520497256	-17.7623937728355	1.38212277308026e-70	2.73801930758215e-69
ANTXRL	1586.30186203296	-2.3245541009775	0.0681749015830558	-34.0969190567228	8.19396125930383e-255	1.17184870612509e-252
ANXA5	3425.76047332497	-0.142969660903034	0.0541066400145168	-2.64236812459017	0.00823285193218734	0.0169695901622973
ANXA6	4470.50490374731	-1.70940642283838	0.0611514310494404	-27.9536618113865	5.95015001565072e-172	4.07341417464876e-170
AOAH	1193.32920068334	-0.672493601829957	0.0680654335662699	-9.88010457870959	5.07798871579318e-23	3.68666218309324e-22
AOC3	578.381169770903	-2.07848568691522	0.104314313058978	-19.9252204799554	2.45960758842604e-88	6.38763761770345e-87
AOX2	43.0648509883631	-0.824639747285257	0.338121577329378	-2.43888530805575	0.014732643297336	0.0289371229838291
AP3B2	156.819183921205	-1.16288403152478	0.19669310350405	-5.91217491009202	3.37619736549768e-09	1.33791992772047e-08
AP3M2	2029.15794674226	-0.396071173097499	0.0618502738631931	-6.40370928629306	1.51646738194384e-10	6.49781221731735e-10
AP3S2	1084.20390632067	-0.973707463570944	0.085931707340792	-11.3311779051401	9.19596445233358e-30	8.27993694543877e-29
AP4E1	858.109203521801	-0.399569911566397	0.0804108536896098	-4.96910420959784	6.72629156067193e-07	2.25144225371641e-06
AP4S1	205.968958686027	-0.406058910802094	0.176490081427348	-2.30074635083245	0.0214059725024616	0.0407621254766437
APBB2	691.550564625197	-0.710619826458203	0.0932473106688111	-7.62080773548665	2.52093197401633e-14	1.32420275767197e-13
APIP	731.320845731841	-0.395070698617952	0.0870721366229069	-4.5372803969303	5.69843189922906e-06	1.75621045100963e-05
APLF	643.057806320331	-0.253521796256931	0.0951716063731946	-2.66383857453031	0.00772546251463769	0.0160138645195706
APLN	32.074721062726	-1.8485328725044	0.3958429478783	-4.66986435507427	3.0139868312216e-06	9.53082614507147e-06
APLNR	92.2695808330738	-1.03594294814258	0.232477088686958	-4.45610771364024	8.34611093419689e-06	2.53000575357188e-05
APMAP	1425.76301164372	-0.181709511600087	0.0644559377726687	-2.81912757581718	0.00481543749880519	0.0103223906677642
APOA2	7.65554427320433	-3.87670027312171	1.04340038562591	-3.71544838062924	0.000202843673889144	0.00052895914959477
