Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	115.595459992714	-3.56285494968067	0.36336063778138	-9.80528593145057	1.06843973431074e-22	7.02047093114025e-21
A1CF	3.6441128162183	-4.60267690279398	1.41160280015132	-3.26060340933059	0.00111175419662417	0.00496944235874603
A2ML1	13.8122882820783	-3.02980009344198	0.674947589576989	-4.48894127518976	7.157802426609e-06	5.75724560528193e-05
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	170.543798941484	-0.608943271810284	0.237705266826219	-2.56175759141032	0.0104143979652119	0.032740933264186
A4GNT	17.587070994866	-2.40992605991067	0.584200753835257	-4.12516766554921	3.70464773128408e-05	0.000250555035001018
AAAS	665.892339125595	-0.101975655382062	0.207297878075379	-0.491928119712742	0.622770158785315	0.745323925271225
AACS	616.993821001366	-0.133356657404166	0.199250571122905	-0.669291217850041	0.503309727841841	0.645536290574325
AADAC	4.94101452124558	-2.61707923578791	1.06586598647514	-2.45535486542985	0.0140745573031398	0.0418901980778467
AADAT	38.8713483106524	-1.55621743544937	0.423022457975858	-3.67880571375759	0.000234328686852087	0.0012769605378568
AAGAB	651.804769225467	-0.14563211996023	0.15863617228023	-0.918025932338885	0.358605289560781	0.508965088216033
AAK1	183.766677405577	0.593598874830134	0.305393881247044	1.94371567762339	0.0519297469966992	0.119259012997931
AAMDC	62.5933773455496	-0.083913435115721	0.330464916712036	-0.253925396833705	0.799553193851565	0.873045584354694
AAMP	2204.89831168986	-0.0440536306139906	0.157874641734978	-0.279041840601246	0.780212715342837	0.859280172054991
AAR2	572.717187446401	0.317231450865647	0.168722589064869	1.88019548907989	0.0600814401717396	0.133893989550482
AARS1	2686.01560509478	0.0969979819570906	0.219264957060907	0.442377948839982	0.658215733188556	0.772318515507781
AARS2	313.545659253226	-0.185288568942214	0.207483002651763	-0.893030111257833	0.371841047683173	0.522455173831674
AARSD1	380.768015667922	0.0692616514413871	0.201624293307247	0.343518384145517	0.731208512792742	0.824824445860099
AASDH	301.258094996499	0.223496317674315	0.170316564331871	1.3122406417195	0.189438953005556	0.321992273990493
AASDHPPT	1180.89823657681	0.100862784017143	0.265342322427674	0.38012324266377	0.70385393330855	0.804539047012128
AASS	22.3427927512785	-1.99178645579272	0.594772193957339	-3.34882241642854	0.000811557943181527	0.00379437764130082
AATF	453.151359529598	0.281965214279602	0.205798220660574	1.37010520972702	0.170654061806449	0.29786003186569
AATK	377.055022849069	-1.31318436748461	0.224218481673742	-5.8567177767059	4.72104390213682e-09	7.22708907026035e-08
ABAT	133.446592252373	-1.13200689905033	0.274604895311251	-4.12231143136489	3.75089626035037e-05	0.000253482245695513
ABCA1	1668.64045572187	-1.08270894295796	0.241068677349477	-4.49128835343614	7.07936279257499e-06	5.70759008722752e-05
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	23.0872156146781	-5.09163121515306	0.854810217014612	-5.95644637114349	2.5778164964486e-09	4.1429366909998e-08
ABCA2	631.836131719895	0.212723244770609	0.17809380408625	1.19444494917739	0.232303962874977	0.373698766643702
ABCA3	145.688779223038	0.122738909203859	0.314312299572283	0.390499860714592	0.696166958280684	0.799335729233631
ABCA4	2.60122019205987	-2.10838443840161	1.38026573809213	-1.52752066519881	0.126631592549985	0.237890271291395
ABCA5	607.901250702169	0.787635370765776	0.4676905246802	1.68409520655641	0.092163270602609	0.186554184238741
ABCA6	89.3439041151105	-0.176884372172113	0.328992167781285	-0.537655268102631	0.590815066607843	0.720985193566089
ABCA7	989.036645304854	-1.65999901816039	0.282170956319092	-5.88295492851214	4.03005700494972e-09	6.25904489750555e-08
ABCA9	76.7222325390163	-1.97179069224535	0.538739315150883	-3.66000890744926	0.00025220648091861	0.00136092720152038
ABCB1	500.920247899397	-0.0436889497751485	0.279882683508865	-0.156097366323003	0.875956274286938	0.924840058705769
ABCB10	1755.82504444575	-3.70915781597401	0.186498149459635	-19.8884430045072	5.12414205962029e-88	8.75408429465531e-85
ABCB11	8.22096550420758	-5.80367328237149	1.24540944160751	-4.66005242009439	3.16128864086125e-06	2.73732666702856e-05
ABCB5	0	NA	NA	NA	NA	NA
ABCB6	926.544524586422	-3.69572173411838	0.319473673430816	-11.5681573834556	5.9752130144011e-31	6.54362430371977e-29
ABCB7	809.143694860825	-0.3135296085195	0.143879680500655	-2.17910970769826	0.0293235192735104	0.0758689994349011
ABCB8	522.109653976608	-0.260980244398895	0.241254570164003	-1.08176290389642	0.279357893995314	0.425209396027793
ABCB9	126.892546853844	-0.0717875029176585	0.320066571846457	-0.224289286142936	0.822532212283247	0.889375969281455
ABCC1	754.577119888958	0.142399848267459	0.288070692189818	0.494322581672516	0.621078379655075	0.744193269921836
ABCC10	637.061415594457	0.439220495826375	0.180539173753032	2.43282655335073	0.0149814754787987	0.043972048432559
ABCC11	0.86875009766588	2.2759915317856	2.32771515226531	0.977779231093045	0.328183525178149	NA
ABCC2	14.5199451132644	-5.92562944769408	1.07467980820411	-5.51385575727561	3.51056350324472e-08	4.56079596117359e-07
ABCC3	39.5394675807236	1.07839226604739	0.576030554360317	1.87210948774227	0.0611914576586727	0.135889102124108
ABCC4	329.954927575373	-0.0197829750166214	0.256841518544516	-0.0770240540887965	0.938604409412327	0.96509887032201
ABCC5	448.062585980283	-0.715493550082855	0.272875709781459	-2.62204924965978	0.00874027995498314	0.0283176451262909
ABCC6	15.4763372321865	-2.17163639698195	0.762405775757114	-2.84839971841161	0.00439396986210128	0.0159648194649379
